[Type]	[PID]	[Module]                            	[Function]                                                               	[Length]	[Current Data]               	[Original Data]              	[Record Address]  	[RVA]
IAT   	6300 	SCPSL.exe::MpOAV.dll                	ADVAPI32.dll!EventActivityIdControl                                      	8       	0x00007FFF9A4CB690           	0x00007FFF99C2436C           	0x00007FFF735358E0	     
IAT   	6300 	SCPSL.exe::HttpProxy.dll            	ADVAPI32.dll!EventEnabled                                                	8       	0x00007FFF9A4C0D00           	0x00007FFF99C24399           	0x00007FFF319AC010	     
IAT   	6300 	SCPSL.exe::igd10iumd64.dll          	advapi32.dll!EventRegister                                               	8       	0x00007FFF9A4B2E70           	0x00007FFF99C243F0           	0x00007FFF8896E088	     
IAT   	6300 	SCPSL.exe::nvwgf2umx_cfg.dll        	ADVAPI32.dll!EventRegister                                               	8       	0x00007FFF9A4B2E70           	0x00007FFF99C243F0           	0x0000029CCCA9D0D0	     
IAT   	6300 	SCPSL.exe::HttpProxy.dll            	ADVAPI32.dll!EventRegister                                               	8       	0x00007FFF9A4B2E70           	0x00007FFF99C243F0           	0x00007FFF319AC018	     
IAT   	6300 	SCPSL.exe::opengl32.dll             	ADVAPI32.dll!EventRegister                                               	8       	0x00007FFF9A4B2E70           	0x00007FFF99C243F0           	0x00007FFF68051A70	     
IAT   	6300 	SCPSL.exe::MpOAV.dll                	ADVAPI32.dll!EventRegister                                               	8       	0x00007FFF9A4B2E70           	0x00007FFF99C243F0           	0x00007FFF735358F8	     
IAT   	6300 	SCPSL.exe::dinput8.dll              	ADVAPI32.dll!EventRegister                                               	8       	0x00007FFF9A4B2E70           	0x00007FFF99C243F0           	0x00007FFF81BBB320	     
IAT   	6300 	SCPSL.exe::opengl32.dll             	ADVAPI32.dll!EventSetInformation                                         	8       	0x00007FFF9A4B2AE0           	0x00007FFF99C2441B           	0x00007FFF68051AA0	     
IAT   	6300 	SCPSL.exe::dinput8.dll              	ADVAPI32.dll!EventSetInformation                                         	8       	0x00007FFF9A4B2AE0           	0x00007FFF99C2441B           	0x00007FFF81BBB328	     
IAT   	6300 	SCPSL.exe::igd10iumd64.dll          	advapi32.dll!EventUnregister                                             	8       	0x00007FFF9A4C0380           	0x00007FFF99C24448           	0x00007FFF8896E080	     
IAT   	6300 	SCPSL.exe::nvwgf2umx_cfg.dll        	ADVAPI32.dll!EventUnregister                                             	8       	0x00007FFF9A4C0380           	0x00007FFF99C24448           	0x0000029CCCA9D0C8	     
IAT   	6300 	SCPSL.exe::opengl32.dll             	ADVAPI32.dll!EventUnregister                                             	8       	0x00007FFF9A4C0380           	0x00007FFF99C24448           	0x00007FFF68051A68	     
IAT   	6300 	SCPSL.exe::MpOAV.dll                	ADVAPI32.dll!EventUnregister                                             	8       	0x00007FFF9A4C0380           	0x00007FFF99C24448           	0x00007FFF735358F0	     
IAT   	6300 	SCPSL.exe::dinput8.dll              	ADVAPI32.dll!EventUnregister                                             	8       	0x00007FFF9A4C0380           	0x00007FFF99C24448           	0x00007FFF81BBB278	     
